"('age', 'count')","('age', 'mean')","('age', 'std')","('age', 'min')","('age', '25%')","('age', '50%')","('age', '75%')","('age', 'max')","('price', 'count')","('price', 'mean')","('price', 'std')","('price', 'min')","('price', '25%')","('price', '50%')","('price', '75%')","('price', 'max')","('duration_in_mins', 'count')","('duration_in_mins', 'mean')","('duration_in_mins', 'std')","('duration_in_mins', 'min')","('duration_in_mins', '25%')","('duration_in_mins', '50%')","('duration_in_mins', '75%')","('duration_in_mins', 'max')","('price_per_min', 'count')","('price_per_min', 'mean')","('price_per_min', 'std')","('price_per_min', 'min')","('price_per_min', '25%')","('price_per_min', '50%')","('price_per_min', '75%')","('price_per_min', 'max')","('images_count', 'count')","('images_count', 'mean')","('images_count', 'std')","('images_count', 'min')","('images_count', '25%')","('images_count', '50%')","('images_count', '75%')","('images_count', 'max')","('exp_ads_from_simimages_count', 'count')","('exp_ads_from_simimages_count', 'mean')","('exp_ads_from_simimages_count', 'std')","('exp_ads_from_simimages_count', 'min')","('exp_ads_from_simimages_count', '25%')","('exp_ads_from_simimages_count', '50%')","('exp_ads_from_simimages_count', '75%')","('exp_ads_from_simimages_count', 'max')","('similar_images_count', 'count')","('similar_images_count', 'mean')","('similar_images_count', 'std')","('similar_images_count', 'min')","('similar_images_count', '25%')","('similar_images_count', '50%')","('similar_images_count', '75%')","('similar_images_count', 'max')",flag_Accepts,flag_Addresses,flag_Business,flag_Cards,flag_Credit,flag_Embedding,flag_Foreign,flag_Girls,flag_Hotel,flag_Juvenile,flag_Massage,flag_Multiple,flag_Parlor,flag_Providers,flag_Traveling,flag_URL,flag_Walk-ins,ethnicity_Asian,ethnicity_Black,ethnicity_Brazilian,ethnicity_Cuban,ethnicity_Dominican,ethnicity_Ebony,ethnicity_French,ethnicity_Hispanic,ethnicity_Indian,ethnicity_Latin,ethnicity_Latina,ethnicity_Mexican,ethnicity_Other,ethnicity_Panamanian,ethnicity_Polish,ethnicity_Rican,ethnicity_Romanian,ethnicity_Russian,ethnicity_Spanish,ethnicity_Thai,ethnicity_White,n_ads,n_distinct_locations,location_tree_length,n_outcall,n_incall,n_incall_and_outcall,n_cooccurring_phones,has_images
19.0,19.8947368421,4.49561189559,18.0,18.0,18.0,18.0,30.0,1.0,501.0,0.0,501.0,501.0,501.0,501.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.05263157895,1.02597835209,1.0,1.0,3.0,3.0,3.0,19.0,9.47368421053,7.20623511699,0.0,4.0,16.0,16.0,16.0,19.0,9.0,6.35085296109,0.0,5.0,14.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157894736842,0.0,0.0,0.842105263158,0.0,0.0,0.0,0.157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157894736842,0.157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,0.0,0,3,0,1,True
62.0,23.0806451613,1.34649985965,19.0,23.0,23.0,24.0,24.0,1.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,1.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,1.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,35.0,3.05714285714,1.53283392184,1.0,2.0,2.0,4.0,7.0,35.0,10.3142857143,8.39737854253,0.0,1.0,18.0,18.0,21.0,35.0,2.25714285714,2.45360307858,0.0,0.5,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161290322581,0.0,0.0,0.0806451612903,0.0,0.0,0.0,0.0161290322581,0.0,0.0,0.0,0.0161290322581,0.0,0.0161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,1,0.0,0,56,0,0,True
191.0,19.3403141361,3.39107154401,2.0,20.0,20.0,20.0,20.0,4.0,312.0,0.0,312.0,312.0,312.0,312.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,4.11971830986,2.10194909334,1.0,2.0,3.5,7.0,7.0,142.0,4.90845070423,8.73397615217,0.0,0.0,0.0,6.0,25.0,142.0,8.51408450704,15.7361831393,0.0,0.0,0.0,8.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0628272251309,0.0,0.0,1.0,0.0,0.0,0.0,0.0628272251309,0.204188481675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507853403141,0.0628272251309,0.0,0.0628272251309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,3,1122.87606687,2,0,2,5,True
4.0,24.0,0.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0,0,0,0,True
86.0,18.4534883721,0.58725636739,18.0,18.0,18.0,19.0,20.0,4.0,183.5,67.0,150.0,150.0,150.0,183.5,284.0,3.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,3.0,2.5,0.0,2.5,2.5,2.5,2.5,2.5,72.0,4.20833333333,1.80716492618,1.0,3.0,4.0,5.0,12.0,72.0,5.34722222222,9.56101197164,0.0,0.0,0.0,9.0,29.0,72.0,9.33333333333,16.1358667937,0.0,0.0,0.0,17.5,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093023255814,0.046511627907,0.0,1.0,0.0,0.046511627907,0.0,0.093023255814,0.0116279069767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0697674418605,0.0,0.0348837209302,86,1,0.0,0,14,0,0,True
16.0,22.0,0.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,2,176.693635068,0,0,0,0,True
50.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,4.0,208.0,0.0,208.0,208.0,208.0,208.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.7,1.76415557646,6.0,10.0,11.0,12.0,12.0,50.0,48.44,40.7221345818,0.0,0.0,59.5,87.75,88.0,50.0,17.4,16.0814254623,0.0,0.0,22.5,31.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,2,132.803301861,0,0,0,0,True
59.0,24.1016949153,0.443143755543,24.0,24.0,24.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,18.0,17.5,18.00735144,0.0,0.0,17.5,35.0,35.0,18.0,3.0,3.08697453257,0.0,0.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608696,0.0,0.0434782608696,0.0434782608696,0.0434782608696,0.0434782608696,0.0326086956522,80,1,0.0,44,0,5,0,True
6.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.375,1.06066017178,2.0,2.0,2.0,2.0,5.0,8.0,6.25,17.6776695297,0.0,0.0,0.0,0.0,50.0,8.0,3.0,8.48528137424,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0.0,0,0,0,0,True
92.0,21.8695652174,0.496523989977,18.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,4.38823529412,3.02408631478,2.0,3.0,3.0,5.0,16.0,85.0,26.4235294118,26.1162130224,0.0,18.0,21.0,32.0,151.0,85.0,36.6352941176,24.7674166996,0.0,19.0,33.0,52.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591397849462,0.0,0.0,0.010752688172,0.0,0.0,0.0,0.591397849462,0.0,0.0,0.0,0.0645161290323,0.0,0.0,0.0,0.397849462366,0.0,0.010752688172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,4,393.081997815,6,0,8,0,True
